id,state_nm,country,Meal,Meal2,McMeal,Domestic_Beer,Imported_Beer,Cappuccino,Coke,Water,Milk,Bread,Rice,Eggs,Cheese
0,32,In,4.9,22.04,4.28,1.84,3.67,1.78,0.48,0.19,0.73,0.51,0.88,1.01,4.32
1,32,Ch,5.59,40.51,5.59,1.12,4.19,3.96,0.52,0.32,2.68,2.57,1.18,2.17,18.01
2,32,In,2.54,22.25,3.5,2.02,3.18,2.19,0.59,0.27,1.28,1.21,0.83,1.7,6.66
3,32,Ph,3.54,27.4,3.54,1.24,1.9,2.91,0.93,0.51,1.63,1.19,0.89,1.73,5.06
4,32,So,7.16,52.77,6.03,3.02,4.52,3.86,1.46,0.78,2.13,2.78,3.66,4.02,11.13
5,33,Th,2.6,28.09,5.62,2.25,4.21,2.06,0.5,0.26,1.61,1.86,1.44,1.96,15.94
6,31,In,2,14.69,3.67,2.2,3.67,1.6,0.36,0.15,0.63,0.37,0.69,0.91,4.85
7,32,Ch,4.05,27.94,4.89,0.84,1.68,3.41,0.44,0.32,1.88,1.6,1.01,1.68,8.83
8,31,In,3.67,18.36,3.67,2.45,4.28,2.49,0.46,0.19,0.74,0.5,0.84,0.97,5.81
9,34,Ch,4.19,30.73,5.59,1.4,4.05,4.55,0.51,0.43,1.97,2.07,1.2,1.85,12.66
10,30,Ja,7.22,43.31,5.47,3.25,3.61,3.19,1.17,0.78,1.36,1.43,4.78,1.69,10.78
11,32,Ni,3.38,45.06,6.76,1.13,1.8,3.4,0.39,0.26,3.79,1.37,2.82,2.15,4.86
12,32,Pa,2.23,11.14,3.56,2.12,2.67,1.39,0.29,0.18,0.79,0.46,1.09,1.13,4.91
13,31,Ba,1.87,11.24,4.68,5.62,4.92,1.89,0.27,0.15,0.79,0.64,0.67,1.25,6.92
14,31,Br,7.45,37.27,6.52,2.24,3.35,1.51,1.08,0.75,1.26,1.53,1.18,2.22,9.99
15,32,Ja,7.22,43.31,5.05,4.3,5.05,3.42,1.21,0.82,1.37,1.6,3.33,1.88,14.75
16,32,Ru,13.1,65.5,6.55,4.09,4.09,3.42,1.3,0.74,1.43,0.86,1.94,1.87,13.1
17,32,Ch,4.19,27.94,4.89,1.12,3.91,4.14,0.47,0.33,2.2,2.36,0.98,2.09,13.66
18,32,Me,7.78,39.95,6.75,2.59,4.1,2.75,1.03,0.75,1.33,2,1.47,1.98,7.8
19,30,Eg,4.07,20.36,4.07,1.63,2.55,1.76,0.26,0.15,0.82,0.51,0.7,1.29,3.29
20,30,Un,25,100,10,8,10,5.38,2.72,2.32,1.25,4.13,7.95,3.93,16.58
21,29,Tu,5.36,24.14,4.29,2.68,3.22,1.84,0.88,0.31,0.96,0.51,1.65,1.75,5.96
22,25,Ar,6.4,25,5,1.79,2.4,1.75,1,0.81,0.77,1.28,0.95,1.38,6.54
23,30,In,3.06,18.36,4.28,2.11,3.67,2.01,0.46,0.18,0.58,0.57,0.76,0.97,6.52
24,31,Ir,4,29.19,4.96,0.88,1.94,1.49,0.88,0.76,0.81,0.53,3.79,1.32,4.13
25,29,Ch,2.79,24.3,4.96,1.12,2.79,3.61,0.41,0.29,1.94,1.46,1.15,2.11,14.53
26,28,In,2.2,12.24,4.9,2.2,4.28,1.61,0.44,0.18,0.6,0.5,0.68,0.85,5.99
27,29,Pa,1.56,17.82,3.56,3.01,4.01,1.79,0.22,0.17,0.69,0.66,0.96,1.04,5.76
28,31,Ch,4.19,27.94,6.29,1.4,2.1,3.49,0.45,0.28,1.88,1.52,0.93,1.22,14.32
29,29,Fr,15.58,62.32,10.39,7.27,6.23,3.8,2.84,2.4,1.25,2.08,2.17,3.58,17.2
30,27,Un,18.02,80.48,8.41,7.09,6.01,3.96,2.01,1.64,1.32,1.24,2.09,2.86,7.76
31,30,In,2.45,12.24,5.26,1.84,3.67,2,0.45,0.18,0.75,0.55,0.68,0.9,5.77
32,28,Un,20,87.09,10,7.5,8,4.95,2.7,2.28,1.14,3.8,5.64,3.84,12.5
33,29,Vi,2.02,24.23,4.04,1.01,2.02,1.99,0.54,0.3,1.47,1.16,0.93,1.49,10.6
34,30,Ja,7.22,36.1,5.05,2.89,3.61,2.57,1,0.76,1.46,1.33,3.61,1.75,15.02
35,29,Ch,3.49,26.54,5.59,1.51,2.1,2.8,0.42,0.23,1.69,1.75,0.89,1.7,12.57
36,28,Br,6.52,27.95,6.52,1.86,2.8,1.53,1.09,0.75,1.03,1.48,1.15,1.82,8.06
37,30,Ch,2,13.97,3.91,2,2,2.79,0.46,2,1.96,1.12,0.42,1.01,2
38,25,Pe,3.84,23.06,5.12,2.05,3.84,2.57,0.83,0.54,1.19,1.8,1.08,1.78,6.82
39,31,An,7.84,64.25,10.51,2.2,1.5,3.93,1.95,1.42,2.49,2.58,1.54,3.68,5.46
40,29,Ch,3.14,18.86,4.89,0.77,1.4,3.49,0.4,0.28,1.4,1.4,0.7,1.22,11.17
41,28,Ch,2.79,20.95,4.19,1.12,1.96,2.68,0.41,0.21,1.68,1.08,0.58,1.07,2
42,29,Ch,2.79,20.95,4.19,1.12,1.96,2.68,0.41,0.25,2.28,1.08,0.58,1.07,2
43,25,Ch,2.1,16.76,4.19,0.77,2.23,3.21,0.44,0.28,1.73,1.67,0.71,1.45,17.46
44,27,Ch,2.79,13.97,5.24,1.12,2.1,3.4,0.7,0.28,1.75,1.05,0.98,2,8.38
45,29,Un,20,80,9.5,5.5,6.5,4.7,2.29,1.99,0.84,3.18,3.73,2.98,12.21
46,26,Ch,2.79,16.76,4.75,0.84,2.79,3.68,0.41,0.26,1.8,1.34,0.91,1.84,9.54
47,24,Vi,2.02,20.03,5.21,0.81,1.62,1.89,0.43,0.27,1.34,0.91,0.99,1.48,10.48
48,28,Ch,3.49,20.95,4.89,0.7,1.89,2.8,0.42,0.23,1.69,1.75,0.89,1.79,5.59
49,27,Ch,3.14,18.86,6.15,0.56,1.68,2.51,0.42,0.28,1.35,3.08,0.91,1.39,2
50,30,In,3.67,14.69,4.28,2.45,3.67,1.93,0.42,0.16,0.72,0.49,0.7,0.94,6.05
51,25,Ma,3.33,22.2,4,3.44,4.44,2.67,0.59,0.38,1.66,0.79,1.33,1.7,9.75
52,26,Ch,2,2,4.89,2,2,4.19,0.49,0.25,1.75,2.48,1.79,0.84,11.17
53,27,Co,3.06,18.34,4.48,1.02,2.04,1.11,0.57,0.48,0.83,0.97,0.79,1.48,3.9
54,26,In,2.45,12.24,3.67,3.37,5.51,1.67,0.45,0.19,0.71,0.54,0.72,1.04,6.08
55,27,Ch,2.79,20.95,4.89,0.84,1.68,3.25,0.42,0.28,1.72,1.6,0.77,1.68,13.97
56,25,Ch,3.07,20.95,4.54,0.88,1.4,2.99,0.47,0.31,2.18,1.64,1.08,1.83,7.68
57,26,Ch,2.79,16.76,4.64,2.44,1.4,2.93,0.31,0.21,1.58,1.18,0.88,1.42,10.48
58,26,Ch,3.14,27.94,4.89,0.7,2.17,3.69,0.44,0.33,2.22,1.78,0.83,1.98,7.68
59,26,Ch,2.79,20.95,4.19,1.12,1.96,2.68,0.41,0.25,1.88,1.08,0.58,1.07,14.32
60,27,Ch,2.79,22.35,4.89,0.84,2.1,3.2,0.44,0.28,1.55,1.54,0.87,1.34,8.85
